Phylum,organizacion,simetria,capa_germinales,segmentacion,cavidad_corporal,sis_digestivo,sis_nervioso,sis_corporal,rep_sexual,rep_asexual,habitat_terrestre,habitat_acuatico,parasitario,Columna 12
chordata,1,bilateral,triploblastico,1,celomado,1,centralizado,endoesqueleto,1,0,1,1,0,
echinodermata,0.5,radial,triploblastico,0,celomado,1,0.5,endoesqueleto,1,0,0,1,0,
arthropoda,0.5,bilateral,triploblastico,1,celomado,1,ganglionar,exoesqueleto,1,0,1,1,0,
annelida,0.5,bilateral,triploblastico,1,celomado,1,ganglionar,hidrostatico,1,0,1,1,0,
molusca,0.5,bilateral,triploblastico,0,celomado,1,ganglionar,exoesqueleto,1,0,1,1,0,
rotifera,0.5,bilateral,triploblastico,0,pseudocelomado,1,ganglionar,hidrostatico,1,1,0,1,0,
nematoda,0.5,bilateral,triploblastico,0,pseudocelomado,1,ganglionar,hidrostatico,1,0,0,1,1,
nemertea,0.5,bilateral,triploblastico,0,acelomado,1,ganglionar,desconocido,1,0,0,1,0,
platyhelmithes,0.5,bilateral,triploblastico,0,acelomado,0.5,ganglionar,hidrostatico,1,0,0,1,1,
ctenophera,0.5,radial,diploblastico,0,0,1,0.5,hidrostatico,1,0,0,1,0,
cnidaria,0.25,radial,diploblastico,0,0,0.5,0.5,hidrostatico,1,0,0,1,0,
polifera,0.25,ninguna,0,0,0,0,0,hidrostatico,0,1,0,1,0,
protozooarios,0,variada,0,0,0,0,0,0,1,1,1,1,1,
